"id","created_at","json_response"
1702,2023-05-16 18:29:38.877 -0300,"{""id"":""GLQEQY"" , ""amount"":""537.23"" , ""cache-control"":""1""}"
1703,2023-05-16 18:37:36.708 -0300,"{""id"":""V243XA"" , ""amount"":""360.83"" , ""cache-control"":""1""}"
1723,2023-05-16 20:07:22.583 -0300,"{""id"":""LLTVOJ"" , ""amount"":""982.70"" , ""cache-control"":""1""}"
1967,2023-05-17 03:03:12.181 -0300,"{""id"":""WJ8DB1"" , ""amount"":""639.63"" , ""cache-control"":""1""}"
1972,2023-05-17 07:01:05.606 -0300,"{""id"":""MRAVRA"" , ""amount"":""255.58"" , ""cache-control"":""1""}"
1984,2023-05-17 08:01:56.122 -0300,"{""id"":""U2JF6Q"" , ""amount"":""1761.10"" , ""cache-control"":""1""}"
2003,2023-05-17 08:42:03.270 -0300,"{""id"":""6WCIZA"" , ""amount"":""1504.70"" , ""cache-control"":""1""}"
2015,2023-05-17 09:04:43.700 -0300,"{""id"":""PWPEA9"" , ""amount"":""178.63"" , ""cache-control"":""1""}"
2028,2023-05-17 09:26:57.634 -0300,"{""id"":""DQK2FMSLL"" , ""amount"":""4957.10"" , ""cache-control"":""1""}"
2043,2023-05-17 09:55:21.076 -0300,"{""id"":""YC1ZETSLL"" , ""amount"":""400.80"" , ""cache-control"":""1""}"
2045,2023-05-17 09:58:30.156 -0300,"{""id"":""QW7GF2"" , ""amount"":""3438.40"" , ""cache-control"":""1""}"
2049,2023-05-17 10:02:30.676 -0300,"{""id"":""J6VCA6"" , ""amount"":""2810.25"" , ""cache-control"":""1""}"
2050,2023-05-17 10:04:38.699 -0300,"{""id"":""6QLUCK"" , ""amount"":""895.56"" , ""cache-control"":""1""}"
2051,2023-05-17 10:05:37.134 -0300,"{""id"":""C9YDW9SLL"" , ""amount"":""1314.20"" , ""cache-control"":""1""}"
2052,2023-05-17 10:06:47.928 -0300,"{""id"":""GFUHVT"" , ""amount"":""1239.26"" , ""cache-control"":""1""}"
2055,2023-05-17 10:11:56.229 -0300,"{""id"":""ELKRVO"" , ""amount"":""3405.01"" , ""cache-control"":""1""}"
2059,2023-05-17 10:20:49.031 -0300,"{""id"":""D7AKX5"" , ""amount"":""1953.10"" , ""cache-control"":""1""}"
2060,2023-05-17 10:21:33.847 -0300,"{""id"":""ILNOBN"" , ""amount"":""157.93"" , ""cache-control"":""1""}"
